run_id,agent_id,timestamp,task_category,user_query,query_length_tokens,prompt_complexity_score,domain,planner_type,model_name,memory_enabled,memory_tokens_used,tool_count_available,selected_tools,reasoning_steps,tool_calls_made,latency_seconds,input_tokens,output_tokens,total_tokens,estimated_cost_usd,retrieval_hits,retrieval_quality_score,context_relevance_score,hallucination_risk_score,final_success,failure_type,failure_reason,answer_quality_score,user_satisfaction_score
run_0000025,agent_043,2026-02-18 11:36:58,research_qa,What does the latest healthcare research say about this question?,110,7,healthcare,ReAct,claude-sonnet,True,306,34,email_send;api_call,8,3,1.25,1363,44,1407,0.004749,4.0,0.3577,0.5466,0.538,True,Success,goal satisfied,0.5511,3.0
run_0000026,agent_039,2026-02-21 20:35:25,planning,Draft a step-by-step plan for this general objective,43,2,general,Tree-of-Thought,gpt-4o,False,0,4,code_exec;sql_query;crm_lookup;file_reader,1,1,1.98,1210,47,1257,0.003495,5.0,0.9176,1.0,0.1149,True,Success,resolved on first attempt,0.7149,
run_0000027,agent_031,2026-02-28 14:21:37,code_generation,Write and debug a finance script for this task,215,6,finance,Plan-and-Execute,claude-sonnet,True,61,24,sql_query;email_send;code_exec,9,8,1.68,591,184,775,0.004533,0.0,,0.5168,0.5071,True,Success,completed within budget,0.5149,3.0
run_0000028,agent_025,2026-01-27 21:53:25,extraction,Extract the structured fields from these finance records,34,5,finance,Reflexion,gpt-4o-mini,True,450,36,sql_query,5,2,1.03,810,60,870,0.000157,0.0,,0.5998,0.5206,True,Success,goal satisfied,0.5945,3.0
run_0000029,agent_043,2026-02-02 10:33:21,customer_support,Help resolve this legal customer issue end to end,25,8,legal,Reflexion,gemini-flash,True,324,18,web_search;api_call;sql_query;chart_gen,13,6,2.23,631,210,841,0.00011,0.0,,0.7724,0.694,False,Timeout,run cancelled at the latency ceiling,0.0049,2.0
run_0000030,agent_021,2026-01-06 01:55:21,research_qa,What does the latest tech_support research say about this question?,25,4,tech_support,ReAct,gemini-flash,True,121,3,vector_search;file_reader;crm_lookup,4,3,1.1,2120,111,2231,0.000192,9.0,0.725,0.6555,0.2445,True,Success,completed within budget,0.6866,4.0
run_0000031,agent_038,2026-03-12 07:48:34,multi_step_workflow,Run the full education workflow across the connected tools,59,7,education,ReAct,gpt-4o,True,544,34,email_send;web_search;calculator;vector_search,9,7,2.64,1817,47,1864,0.005012,5.0,0.1601,0.2503,0.8795,False,Hallucination,cited a source that does not exist,0.0,1.0
run_0000032,agent_046,2026-01-24 21:14:51,research_qa,What does the latest ecommerce research say about this question?,49,3,ecommerce,ReAct,gpt-4o-mini,False,0,13,rag_retrieve;vector_search,2,1,0.7,1348,20,1368,0.000214,6.0,0.8633,0.7872,0.4242,False,Hallucination,answer diverged from retrieved evidence,0.3241,3.0
run_0000033,agent_024,2026-03-11 13:57:24,extraction,Extract the structured fields from these legal records,32,1,legal,ReAct,qwen2.5-7b,False,0,12,crm_lookup;calendar;api_call;calculator;email_send,1,1,0.55,332,121,453,9.1e-05,0.0,,0.508,0.4576,True,Success,resolved on first attempt,0.3597,3.0
run_0000034,agent_042,2026-03-31 01:45:32,planning,Draft a step-by-step plan for this ecommerce objective,52,7,ecommerce,Reflexion,gpt-4o-mini,True,216,27,file_reader;crm_lookup;email_send,10,10,1.11,580,39,619,0.00011,0.0,,0.413,0.5541,True,Success,completed within budget,0.751,4.0
run_0000035,agent_020,2026-03-27 04:41:37,customer_support,Help resolve this finance customer issue end to end,41,3,finance,Reflexion,gpt-4o-mini,False,0,34,vector_search,1,2,1.41,1400,75,1475,0.000255,6.0,0.8347,0.8301,0.2709,True,Success,completed within budget,,5.0
run_0000036,agent_015,2026-03-13 03:50:49,extraction,Extract the structured fields from these travel records,60,2,travel,ReAct,gpt-4o-mini,True,81,31,api_call;crm_lookup,1,0,0.48,1179,110,1289,0.000243,4.0,0.4912,0.4513,0.5263,True,Success,goal satisfied,0.6449,4.0
run_0000037,agent_022,2026-01-19 09:11:19,code_generation,Write and debug a education script for this task,41,7,education,Plan-and-Execute,gpt-4o,True,346,16,rag_retrieve;email_send,5,8,2.28,994,132,1126,0.003805,2.0,0.5768,0.7157,0.5974,True,Success,goal satisfied,0.7363,5.0
run_0000038,agent_009,2026-03-09 19:34:01,extraction,Extract the structured fields from these finance records,43,5,finance,Tree-of-Thought,gpt-4o-mini,False,0,5,email_send;code_exec;file_reader,4,2,0.62,344,47,391,8e-05,0.0,,0.5167,0.5718,True,Success,resolved on first attempt,0.048,2.0
run_0000039,agent_009,2026-02-23 12:29:37,research_qa,What does the latest healthcare research say about this question?,95,5,healthcare,Single-shot,claude-sonnet,False,0,11,vector_search;email_send;crm_lookup;file_reader;code_exec;rag_retrieve,8,2,2.01,1740,39,1779,0.005805,8.0,0.6779,0.6186,0.6301,False,Planning Error,produced an invalid plan step,0.3827,2.0
run_0000040,agent_002,2026-02-19 15:58:40,data_analysis,Analyze the healthcare data and summarize the main trends,26,7,healthcare,Plan-and-Execute,llama-3.3-70b,True,1234,23,api_call;chart_gen;email_send;code_exec;calculator;calendar;vector_search,8,5,3.67,3341,187,3528,0.002119,10.0,0.6527,0.6365,0.5702,False,Timeout,step budget exhausted before completion,0.4578,3.0
run_0000041,agent_007,2026-03-31 05:28:31,summarization,Summarize these tech_support documents into a short brief,52,6,tech_support,ReAct,llama-3.3-70b,True,125,37,crm_lookup;code_exec;calculator;file_reader,7,5,0.91,493,41,534,0.000323,0.0,,,0.5857,True,Success,goal satisfied,0.5042,3.0
run_0000042,agent_032,2026-01-03 03:35:54,research_qa,What does the latest finance research say about this question?,46,4,finance,Plan-and-Execute,gpt-4o,True,321,38,web_search;crm_lookup,7,4,0.66,703,123,826,0.002988,0.0,,0.4949,0.3983,True,Success,goal satisfied,0.3883,4.0
run_0000043,agent_030,2026-01-05 17:31:53,customer_support,Help resolve this general customer issue end to end,30,2,general,ReAct,claude-sonnet,True,609,25,email_send;calendar;calculator;web_search;chart_gen,2,3,0.8,922,111,1033,0.004431,0.0,,0.4073,0.3756,True,Success,goal satisfied,0.6538,3.0
run_0000044,agent_010,2026-01-18 14:31:36,extraction,Extract the structured fields from these finance records,25,2,finance,Tree-of-Thought,gemini-flash,True,333,4,vector_search;code_exec;chart_gen;calendar,6,2,1.89,1509,83,1592,0.000138,4.0,0.7928,0.7493,0.2145,True,Success,completed within budget,0.7381,4.0
run_0000045,agent_021,2026-01-16 10:28:24,code_generation,Write and debug a general script for this task,13,4,general,Reflexion,claude-sonnet,True,45,12,calendar;api_call;sql_query,2,3,0.76,360,56,416,0.00192,0.0,,0.5468,0.3021,True,Success,resolved on first attempt,0.4706,3.0
run_0000046,agent_048,2026-02-17 00:31:06,multi_step_workflow,Run the full finance workflow across the connected tools,60,6,finance,Single-shot,llama-3.3-70b,True,772,5,vector_search;web_search;rag_retrieve;file_reader;sql_query,6,7,1.11,1757,118,1875,0.00113,3.0,,0.4306,0.575,True,Success,goal satisfied,0.5699,4.0
run_0000047,agent_043,2026-03-18 07:21:34,customer_support,Help resolve this healthcare customer issue end to end,79,7,healthcare,Tree-of-Thought,qwen2.5-7b,True,106,5,crm_lookup;calendar,8,10,1.32,498,57,555,0.000111,0.0,,,0.6716,False,API Error,malformed provider response,0.085,2.0
run_0000048,agent_023,2026-02-13 22:03:44,research_qa,What does the latest finance research say about this question?,51,3,finance,Single-shot,gemini-flash,True,354,4,rag_retrieve;sql_query,4,3,1.93,685,87,772,7.7e-05,0.0,0.599,0.4442,0.4116,True,Success,goal satisfied,0.7197,4.0
run_0000049,agent_026,2026-03-04 13:44:35,summarization,Summarize these general documents into a short brief,27,4,general,Plan-and-Execute,qwen2.5-7b,False,0,18,rag_retrieve;file_reader;email_send;api_call,5,3,1.44,1857,80,1937,0.000387,8.0,0.5984,0.595,0.464,True,Success,completed within budget,0.7572,4.0
run_0000050,agent_032,2026-01-12 20:20:22,summarization,Summarize these general documents into a short brief,114,9,general,Plan-and-Execute,gpt-4o,False,0,9,chart_gen;vector_search;calculator;web_search;code_exec;sql_query,11,3,1.88,919,301,1220,0.005308,3.0,0.2742,0.4146,0.7984,False,Retrieval Failure,index returned empty results,0.0199,1.0
run_0000051,agent_001,2026-03-31 13:04:45,planning,Draft a step-by-step plan for this ecommerce objective,99,4,ecommerce,Single-shot,gpt-4o-mini,True,431,32,api_call;rag_retrieve;email_send;sql_query;chart_gen,2,3,1.72,1820,32,1852,0.000292,6.0,0.5614,0.4278,0.4034,True,Success,goal satisfied,0.5039,
run_0000052,agent_010,2026-03-23 21:03:41,summarization,Summarize these general documents into a short brief,125,5,general,Tree-of-Thought,claude-sonnet,False,0,28,crm_lookup;calculator;file_reader;email_send;rag_retrieve,7,7,1.65,739,104,843,0.003777,2.0,0.4303,0.66,0.721,False,Context Overflow,prompt exceeded the model context window,0.299,2.0
run_0000053,agent_010,2026-01-18 08:12:00,customer_support,Help resolve this travel customer issue end to end,81,6,travel,Reflexion,claude-sonnet,True,719,9,email_send;vector_search,6,6,2.16,1931,45,1976,0.006468,4.0,0.2276,0.2696,0.5681,False,Planning Error,chose an incoherent action sequence,0.1977,2.0
run_0000054,agent_023,2026-02-14 11:19:53,multi_step_workflow,Run the full finance workflow across the connected tools,73,6,finance,Tree-of-Thought,gpt-4o,True,127,35,web_search;calendar;chart_gen;code_exec;sql_query,6,5,1.9,482,75,557,0.001955,0.0,,0.3733,0.4814,False,Planning Error,looped without making progress,0.5783,3.0
run_0000055,agent_010,2026-01-01 02:26:41,customer_support,Help resolve this travel customer issue end to end,119,3,travel,Plan-and-Execute,gemini-flash,True,39,33,crm_lookup;rag_retrieve;calendar;web_search;sql_query,7,4,1.55,1900,70,1970,0.000164,8.0,0.865,0.8835,0.2019,True,Success,completed within budget,,5.0
run_0000056,agent_032,2026-03-14 09:38:43,data_analysis,Analyze the healthcare data and summarize the main trends,76,3,healthcare,Tree-of-Thought,llama-3.3-70b,True,309,16,vector_search;code_exec,2,1,0.78,1258,40,1298,0.000774,3.0,0.3843,0.4473,0.3876,False,Hallucination,cited a source that does not exist,0.5631,3.0
run_0000057,agent_021,2026-03-21 22:23:20,research_qa,What does the latest education research say about this question?,37,4,education,ReAct,llama-3.3-70b,True,125,17,sql_query;chart_gen;crm_lookup;api_call;web_search,2,0,1.14,1369,74,1443,0.000866,5.0,0.372,0.5188,0.5099,False,Planning Error,looped without making progress,0.5236,3.0
run_0000058,agent_002,2026-02-06 14:47:56,customer_support,Help resolve this education customer issue end to end,49,6,education,ReAct,qwen2.5-7b,False,0,33,file_reader;rag_retrieve;chart_gen;web_search,7,5,1.67,1050,98,1148,0.00023,4.0,0.5587,0.4693,0.6843,True,Success,resolved on first attempt,0.4374,3.0
run_0000059,agent_046,2026-02-19 05:33:36,customer_support,Help resolve this education customer issue end to end,37,4,education,ReAct,gpt-4o,False,0,17,code_exec;api_call,2,3,0.45,342,100,442,0.001855,0.0,,0.5405,,True,Success,resolved on first attempt,0.6235,4.0
run_0000060,agent_037,2026-01-17 07:17:35,research_qa,What does the latest finance research say about this question?,44,9,finance,ReAct,qwen2.5-7b,False,0,4,calculator;code_exec;web_search;calendar,8,7,1.46,342,116,458,9.2e-05,0.0,,0.5402,0.7076,True,Success,goal satisfied,0.5262,3.0
run_0000061,agent_042,2026-02-21 14:38:44,research_qa,What does the latest travel research say about this question?,19,2,travel,Plan-and-Execute,gemini-flash,False,0,8,code_exec;calendar,3,1,1.24,320,76,396,4.7e-05,0.0,,0.452,0.4174,True,Success,goal satisfied,0.5116,3.0
run_0000062,agent_027,2026-03-23 12:52:57,code_generation,Write and debug a tech_support script for this task,36,2,tech_support,Reflexion,gpt-4o-mini,True,55,9,file_reader;calendar;code_exec;crm_lookup;rag_retrieve,1,0,1.62,1715,102,1817,0.000318,8.0,0.6103,0.844,0.3933,True,Success,resolved on first attempt,0.7091,
run_0000063,agent_029,2026-02-17 15:17:21,data_analysis,Analyze the finance data and summarize the main trends,46,3,finance,Plan-and-Execute,llama-3.3-70b,True,128,6,vector_search,2,3,2.02,2087,59,2146,0.001278,8.0,,0.9314,0.0445,True,Success,completed within budget,0.6071,3.0
run_0000064,agent_006,2026-02-20 11:26:50,multi_step_workflow,Run the full healthcare workflow across the connected tools,43,4,healthcare,ReAct,gemini-flash,True,268,33,vector_search;web_search;rag_retrieve;api_call,6,9,3.33,2022,87,2109,0.000178,7.0,0.7773,0.8074,0.223,True,Success,resolved on first attempt,0.5924,3.0
run_0000065,agent_012,2026-01-24 08:57:11,extraction,Extract the structured fields from these tech_support records,46,5,tech_support,Plan-and-Execute,gemini-flash,False,0,19,crm_lookup;chart_gen;code_exec,3,1,1.1,348,62,410,4.5e-05,0.0,,0.5175,0.605,True,Success,goal satisfied,0.2849,3.0
run_0000066,agent_017,2026-03-08 14:48:28,extraction,Extract the structured fields from these tech_support records,25,6,tech_support,Plan-and-Execute,gpt-4o,False,0,33,calculator;web_search;crm_lookup;calendar;rag_retrieve;email_send,2,0,0.79,1501,144,1645,0.005192,6.0,0.8074,0.8323,0.4597,True,Success,completed within budget,0.691,4.0
run_0000067,agent_032,2026-03-07 16:39:04,research_qa,What does the latest finance research say about this question?,39,5,finance,ReAct,gpt-4o-mini,True,564,37,vector_search;code_exec;web_search,2,1,0.76,2302,59,2361,0.000381,9.0,0.6716,0.8407,0.4673,False,Planning Error,produced an invalid plan step,0.4757,3.0
run_0000068,agent_037,2026-03-08 15:23:05,multi_step_workflow,Run the full travel workflow across the connected tools,42,4,travel,ReAct,llama-3.3-70b,True,217,20,file_reader;api_call;chart_gen,5,5,1.16,588,48,636,0.000385,0.0,,0.4701,,True,Success,goal satisfied,0.5816,4.0
run_0000069,agent_029,2026-03-18 20:32:42,data_analysis,Analyze the healthcare data and summarize the main trends,67,8,healthcare,Single-shot,gemini-flash,True,73,8,web_search;calendar;code_exec;crm_lookup,6,3,1.22,459,24,483,4.2e-05,0.0,,0.6142,0.6617,False,Hallucination,cited a source that does not exist,0.4091,3.0
run_0000070,agent_049,2026-03-30 06:48:04,summarization,Summarize these general documents into a short brief,24,5,general,ReAct,gpt-4o-mini,False,0,30,,6,0,1.54,326,188,514,0.000162,0.0,,0.3695,0.4675,False,Planning Error,produced an invalid plan step,0.4131,3.0
run_0000071,agent_044,2026-02-12 20:37:47,planning,Draft a step-by-step plan for this finance objective,58,5,finance,Single-shot,gpt-4o,True,903,35,vector_search,8,3,2.59,3465,125,3590,0.009912,11.0,0.7075,0.5462,0.3541,False,Planning Error,produced an invalid plan step,,3.0
run_0000072,agent_002,2026-01-27 02:19:18,research_qa,What does the latest healthcare research say about this question?,15,3,healthcare,Tree-of-Thought,claude-sonnet,True,453,30,sql_query,3,2,1.48,2172,98,2270,0.007986,7.0,0.8978,0.8487,0.1092,True,Success,completed within budget,0.5006,4.0
run_0000073,agent_015,2026-02-24 01:07:50,code_generation,Write and debug a legal script for this task,26,5,legal,ReAct,gpt-4o,False,0,35,,7,0,2.1,324,145,469,0.00226,0.0,,0.47,0.5601,True,Success,completed within budget,0.7227,4.0
run_0000074,agent_022,2026-02-23 13:21:46,code_generation,Write and debug a travel script for this task,119,8,travel,Plan-and-Execute,qwen2.5-7b,False,0,7,sql_query;vector_search,6,1,1.83,1262,72,1334,0.000267,4.0,0.1913,0.0372,0.7709,True,Success,completed within budget,0.5754,4.0
run_0000075,agent_049,2026-03-07 14:11:26,customer_support,Help resolve this finance customer issue end to end,43,8,finance,ReAct,claude-sonnet,True,323,17,vector_search;api_call;web_search;calculator;sql_query;code_exec;email_send;calendar,10,4,4.39,1692,80,1772,0.006276,5.0,0.5528,0.5935,0.617,True,Success,resolved on first attempt,0.5517,4.0
run_0000076,agent_043,2026-01-22 18:56:43,research_qa,What does the latest finance research say about this question?,25,6,finance,Reflexion,llama-3.3-70b,True,139,20,email_send;calendar;calculator,7,6,1.65,1499,66,1565,0.000937,5.0,0.5931,0.6774,0.4427,True,Success,completed within budget,0.4133,3.0
run_0000077,agent_022,2026-02-04 00:41:16,code_generation,Write and debug a legal script for this task,50,5,legal,Plan-and-Execute,claude-sonnet,False,0,36,code_exec;web_search;vector_search;calculator,7,3,2.29,993,135,1128,0.005004,4.0,0.4067,0.489,0.6882,True,Success,completed within budget,0.4272,3.0
run_0000078,agent_009,2026-01-19 14:06:44,research_qa,What does the latest tech_support research say about this question?,58,5,tech_support,Reflexion,gpt-4o,True,206,14,vector_search;code_exec,9,6,3.92,2317,78,2395,0.006572,9.0,0.7539,0.8282,0.4536,True,Success,resolved on first attempt,0.485,3.0
run_0000079,agent_049,2026-01-25 15:55:36,customer_support,Help resolve this tech_support customer issue end to end,38,7,tech_support,ReAct,claude-sonnet,True,512,10,web_search;code_exec;sql_query,5,2,1.83,2464,70,2534,0.008442,8.0,0.8401,0.7802,0.33,True,Success,resolved on first attempt,0.5016,
run_0000080,agent_017,2026-01-27 01:52:52,extraction,Extract the structured fields from these ecommerce records,73,3,ecommerce,Plan-and-Execute,claude-sonnet,True,170,19,vector_search;file_reader;calculator,9,7,4.01,1714,89,1803,0.006477,7.0,0.757,0.8211,0.3468,False,Timeout,step budget exhausted before completion,0.5536,3.0
run_0000081,agent_035,2026-02-10 02:03:41,summarization,Summarize these general documents into a short brief,49,6,general,ReAct,gemini-flash,False,0,16,sql_query;crm_lookup;calendar,7,0,1.44,354,47,401,4.1e-05,0.0,,,0.6411,False,Hallucination,asserted an unsupported fact,0.2122,3.0
run_0000082,agent_011,2026-03-21 08:43:32,planning,Draft a step-by-step plan for this general objective,44,6,general,ReAct,llama-3.3-70b,True,350,36,calendar;file_reader;vector_search;code_exec,2,2,1.12,1719,113,1832,0.001103,6.0,0.8008,0.7742,0.2165,True,Success,completed within budget,0.8396,4.0
run_0000083,agent_043,2026-03-15 21:53:18,data_analysis,Analyze the legal data and summarize the main trends,117,7,legal,ReAct,llama-3.3-70b,True,338,34,rag_retrieve,7,4,3.5,1782,129,1911,0.001153,5.0,0.4143,0.3231,0.5206,True,Success,goal satisfied,0.3954,
run_0000084,agent_022,2026-01-14 13:45:32,multi_step_workflow,Run the full tech_support workflow across the connected tools,75,7,tech_support,ReAct,llama-3.3-70b,True,330,20,rag_retrieve;vector_search;email_send,3,4,3.08,2339,83,2422,0.001446,9.0,0.7861,0.9183,0.5599,True,Success,completed within budget,0.7252,4.0
run_0000085,agent_047,2026-03-26 05:05:02,code_generation,Write and debug a finance script for this task,18,3,finance,Plan-and-Execute,claude-sonnet,True,474,32,file_reader,4,3,1.75,862,44,906,0.003246,0.0,,0.5846,0.2762,True,Success,resolved on first attempt,0.4686,3.0
run_0000086,agent_029,2026-01-04 06:27:32,multi_step_workflow,Run the full general workflow across the connected tools,192,5,general,Single-shot,gemini-flash,False,0,10,api_call;email_send,4,5,0.66,513,79,592,6.2e-05,0.0,,0.5071,0.5188,True,Success,resolved on first attempt,0.3791,3.0
run_0000087,agent_008,2026-03-29 12:32:47,code_generation,Write and debug a finance script for this task,65,4,finance,Plan-and-Execute,claude-sonnet,False,0,26,chart_gen;crm_lookup;web_search,4,1,1.89,369,103,472,0.002652,0.0,,,0.4473,True,Success,goal satisfied,0.5164,4.0
run_0000088,agent_045,2026-02-06 06:57:10,research_qa,What does the latest general research say about this question?,41,6,general,ReAct,gemini-flash,False,0,23,chart_gen;api_call;rag_retrieve;vector_search,8,10,2.63,2571,187,2758,0.000249,11.0,0.8013,0.846,0.4168,True,Success,resolved on first attempt,0.6142,4.0
run_0000089,agent_007,2026-01-30 06:18:53,research_qa,What does the latest education research say about this question?,104,6,education,Plan-and-Execute,gpt-4o-mini,False,0,11,email_send;crm_lookup;vector_search;calendar;rag_retrieve;file_reader;chart_gen;calculator,2,0,0.75,1380,58,1438,0.000242,5.0,0.4922,0.3839,0.6708,True,Success,goal satisfied,0.4882,3.0
